Match ID,Fighter_total,odds_total,ev_total,date_total,location_total,country_total,winner_total,weight_class_total,gender_total,no_of_rounds_total,total_draw,total_losses,total_win_by_KO/TKO,total_win_by_submission,total_win_by_TKO_Doctor_stoppage,total_wins,total_stance,total_height,total_reach,total_weight,total_age,finish
1,Brandon Vera,215,215,3/21/2010,"Broomfield, Colorado, USA", USA,0,Light Heavyweight,MALE,3,0,4,4,1,0,7,Orthodox,190.5,193.04,230,32,KO/TKO
2,Junior Dos Santos,-250,40,3/21/2010,"Broomfield, Colorado, USA", USA,1,Heavyweight,MALE,3,0,0,4,0,0,4,Orthodox,193.04,195.58,238,26,KO/TKO
3,Cheick Kongo,-345,28.98550725,3/21/2010,"Broomfield, Colorado, USA", USA,1,Heavyweight,MALE,3,0,4,4,0,1,7,Orthodox,193.04,208.28,240,34,KO/TKO
4,Alessio Sakara,-120,83.33333333,3/21/2010,"Broomfield, Colorado, USA", USA,1,Middleweight,MALE,3,0,5,3,0,0,5,Orthodox,182.88,182.88,185,28,KO/TKO
5,Clay Guida,-420,23.80952381,3/21/2010,"Broomfield, Colorado, USA", USA,1,Lightweight,MALE,3,0,5,1,1,0,5,Orthodox,170.18,177.8,155,28,SUB
6,Eliot Marshall,145,145,3/21/2010,"Broomfield, Colorado, USA", USA,0,Light Heavyweight,MALE,3,0,0,0,1,0,3,Orthodox,187.96,195.58,205,29,S-DEC
7,Duane Ludwig,-155,64.51612903,3/21/2010,"Broomfield, Colorado, USA", USA,0,Lightweight,MALE,3,0,1,1,0,0,2,Orthodox,177.8,177.8,170,31,KO/TKO
8,John Howard,-210,47.61904762,3/21/2010,"Broomfield, Colorado, USA", USA,1,Welterweight,MALE,3,0,0,1,0,0,3,Orthodox,170.18,180.34,170,27,KO/TKO
9,Brendan Schaub,-260,38.46153846,3/21/2010,"Broomfield, Colorado, USA", USA,1,Heavyweight,MALE,3,0,1,0,0,0,0,Orthodox,193.04,198.12,245,27,KO/TKO
10,Mike Pierce,-420,23.80952381,3/21/2010,"Broomfield, Colorado, USA", USA,1,Welterweight,MALE,3,0,1,0,0,0,1,Orthodox,172.72,177.8,170,29,U-DEC
11,Eric Schafer,140,140,3/21/2010,"Broomfield, Colorado, USA", USA,0,Light Heavyweight,MALE,3,0,3,1,2,0,3,Orthodox,190.5,190.5,185,32,U-DEC
12,Georges St-Pierre,-650,15.38461538,3/27/2010,"Newark, New Jersey, USA", USA,1,Welterweight,MALE,5,0,2,5,2,0,13,Orthodox,180.34,193.04,185,28,U-DEC
13,Frank Mir,-150,66.66666667,3/27/2010,"Newark, New Jersey, USA", USA,0,Heavyweight,MALE,5,0,4,2,7,0,11,Southpaw,190.5,200.66,264,30,KO/TKO
14,Kurt Pellegrino,-210,47.61904762,3/27/2010,"Newark, New Jersey, USA", USA,1,Lightweight,MALE,3,0,3,1,3,0,6,Orthodox,172.72,177.8,155,30,SUB
15,Ben Saunders,295,295,3/27/2010,"Newark, New Jersey, USA", USA,0,Welterweight,MALE,3,0,1,2,1,0,4,Orthodox,187.96,195.58,170,26,U-DEC
16,Jim Miller,-320,31.25,3/27/2010,"Newark, New Jersey, USA", USA,1,Lightweight,MALE,3,0,1,1,2,0,5,Southpaw,172.72,180.34,155,26,U-DEC
17,Nate Diaz,-235,42.55319149,3/27/2010,"Newark, New Jersey, USA", USA,1,Welterweight,MALE,3,0,3,0,5,0,6,Southpaw,182.88,193.04,170,24,KO/TKO
18,Ricardo Almeida,-185,54.05405405,3/27/2010,"Newark, New Jersey, USA", USA,1,Welterweight,MALE,3,0,3,0,2,0,4,Orthodox,182.88,187.96,170,33,SUB
19,Rousimar Palhares,-220,45.45454545,3/27/2010,"Newark, New Jersey, USA", USA,1,Middleweight,MALE,3,0,1,0,2,0,3,Orthodox,172.72,180.34,170,30,SUB
20,Rodney Wallace,-160,62.5,3/27/2010,"Newark, New Jersey, USA", USA,0,Light Heavyweight,MALE,3,0,1,0,0,0,0,Switch,175.26,182.88,205,28,U-DEC
21,Matthew Riddle,-230,43.47826087,3/27/2010,"Newark, New Jersey, USA", USA,1,Welterweight,MALE,3,0,1,0,0,0,3,Southpaw,185.42,187.96,170,24,DQ
22,Kenny Florian,-360,27.77777778,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Lightweight,MALE,3,0,3,2,6,1,10,Southpaw,177.8,187.96,145,33,SUB
23,Roy Nelson,-350,28.57142857,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Heavyweight,MALE,3,0,0,1,0,0,1,Orthodox,182.88,182.88,263,33,KO/TKO
24,Nate Quarry,-230,43.47826087,3/31/2010,"Charlotte, North Carolina, USA", USA,0,Middleweight,MALE,3,0,2,5,0,0,7,Open Stance,182.88,182.88,185,38,KO/TKO
25,Ross Pearson,-220,45.45454545,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Lightweight,MALE,3,0,0,0,0,1,2,Orthodox,172.72,175.26,155,25,U-DEC
26,Andre Winner,-190,52.63157895,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Lightweight,MALE,3,0,1,1,0,0,1,Orthodox,180.34,185.42,155,28,U-DEC
27,Jacob Volkmann,190,190,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Lightweight,MALE,3,0,2,0,0,0,0,Southpaw,175.26,180.34,155,29,S-DEC
28,Rob Emerson,130,130,3/31/2010,"Charlotte, North Carolina, USA", USA,0,Lightweight,MALE,3,0,3,1,0,0,3,Orthodox,175.26,177.8,155,28,U-DEC
29,Caol Uno,270,270,3/31/2010,"Charlotte, North Carolina, USA", USA,0,Lightweight,MALE,3,0,6,1,0,0,3,Southpaw,170.18,177.8,155,34,KO/TKO
30,Yushin Okami,-650,15.38461538,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Middleweight,MALE,3,0,2,3,0,0,7,Southpaw,187.96,190.5,170,28,KO/TKO
31,Gerald Harris,-155,64.51612903,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Middleweight,MALE,3,0,0,1,0,0,1,Southpaw,180.34,195.58,185,30,KO/TKO
32,Charlie Brenneman,173,173,3/31/2010,"Charlotte, North Carolina, USA", USA,1,Welterweight,MALE,3,0,0,0,0,0,0,Orthodox,177.8,182.88,155,29,U-DEC
33,Anderson Silva,-675,14.81481481,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,1,Middleweight,MALE,5,0,0,7,2,0,10,Southpaw,187.96,195.58,185,34,U-DEC
34,BJ Penn,-780,12.82051282,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,0,Lightweight,MALE,5,0,5,5,4,1,11,Orthodox,175.26,177.8,155,31,U-DEC
35,Matt Hughes,-380,26.31578947,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,1,Welterweight,MALE,3,0,5,5,4,2,16,Switch,175.26,185.42,170,36,KO/TKO
36,Terry Etim,-135,74.07407407,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,0,Lightweight,MALE,3,0,2,1,3,0,5,Orthodox,185.42,185.42,155,24,SUB
37,Kendall Grove,160,160,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,0,Middleweight,MALE,3,0,3,2,2,0,6,Orthodox,198.12,200.66,185,27,KO/TKO
38,Alexander Gustafsson,350,350,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,0,Light Heavyweight,MALE,3,0,0,1,0,0,1,Orthodox,195.58,200.66,205,23,SUB
39,Nick Osipczak,145,145,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,0,Welterweight,MALE,3,0,0,1,1,0,2,Orthodox,187.96,193.04,170,25,S-DEC
40,DaMarques Johnson,140,140,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,1,Welterweight,MALE,3,0,1,0,1,0,1,Orthodox,185.42,190.5,170,27,KO/TKO
41,Paul Kelly,220,220,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,1,Lightweight,MALE,3,0,2,0,0,0,3,Orthodox,175.26,177.8,155,25,SUB
42,Jon Madsen,-245,40.81632653,4/10/2010,"Abu Dhabi, United Arab Emirates", United Arab Emirates,1,Heavyweight,MALE,3,0,0,0,0,0,1,Orthodox,182.88,182.88,240,30,U-DEC
43,Lyoto Machida,-190,52.63157895,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Light Heavyweight,MALE,5,0,0,2,1,0,8,Southpaw,185.42,187.96,185,31,KO/TKO
44,Josh Koscheck,-250,40,5/8/2010,"Montreal, Quebec, Canada", Canada,1,Welterweight,MALE,3,0,4,5,3,0,12,Orthodox,177.8,185.42,170,32,U-DEC
45,Sam Stout,-190,52.63157895,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Lightweight,MALE,3,0,4,0,0,0,4,Orthodox,175.26,177.8,155,26,S-DEC
46,Kevin Ferguson,-103,97.08737864,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Heavyweight,MALE,3,0,0,0,0,0,1,Orthodox,187.96,195.58,235,36,KO/TKO
47,Patrick Cote,107,107,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Middleweight,MALE,3,0,5,2,0,0,4,Orthodox,180.34,180.34,170,30,SUB
48,Tom Lawlor,-600,16.66666667,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Middleweight,MALE,3,0,1,0,1,0,2,Southpaw,182.88,187.96,205,26,SUB
49,Marcus Davis,-440,22.72727273,5/8/2010,"Montreal, Quebec, Canada", Canada,1,Welterweight,MALE,3,0,4,2,4,0,8,Southpaw,177.8,177.8,170,36,KO/TKO
50,TJ Grant,325,325,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Welterweight,MALE,3,0,1,1,0,0,2,Orthodox,177.8,182.88,155,26,M-DEC
51,Joey Beltran,190,190,5/8/2010,"Montreal, Quebec, Canada", Canada,1,Heavyweight,MALE,3,0,0,1,0,0,1,Orthodox,185.42,190.5,185,28,U-DEC
52,Yoshiyuki Yoshida,-255,39.21568627,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Welterweight,MALE,3,0,2,0,2,0,2,Southpaw,180.34,177.8,170,35,U-DEC
53,Jason MacDonald,-175,57.14285714,5/8/2010,"Montreal, Quebec, Canada", Canada,0,Middleweight,MALE,3,0,5,2,3,0,5,Orthodox,190.5,203.2,185,34,KO/TKO
54,Rampage Jackson,-109,91.74311927,5/29/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,1,3,0,0,5,Orthodox,185.42,185.42,205,31,
55,Michael Bisping,-195,51.28205128,5/29/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,3,6,0,0,8,Orthodox,185.42,190.5,185,31,U-DEC
56,Todd Duffee,-275,36.36363636,5/29/2010,"Las Vegas, Nevada, USA", USA,0,Heavyweight,MALE,3,0,0,1,0,0,1,Orthodox,190.5,200.66,260,24,KO/TKO
57,Jason Brilz,435,435,5/29/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,1,1,0,0,3,Orthodox,180.34,180.34,205,34,S-DEC
58,Diego Sanchez,-215,46.51162791,5/29/2010,"Las Vegas, Nevada, USA", USA,0,Welterweight,MALE,3,0,3,5,0,0,10,Southpaw,177.8,182.88,170,28,U-DEC
59,Amir Sadollah,100,100,5/29/2010,"Las Vegas, Nevada, USA", USA,0,Welterweight,MALE,3,0,1,0,1,0,3,Orthodox,177.8,187.96,170,29,U-DEC
60,Efrain Escudero,-400,25,5/29/2010,"Las Vegas, Nevada, USA", USA,1,Lightweight,MALE,3,0,1,1,0,0,2,Orthodox,175.26,177.8,155,24,U-DEC
61,Melvin Guillard,-370,27.02702703,5/29/2010,"Las Vegas, Nevada, USA", USA,1,Lightweight,MALE,3,0,4,3,0,1,6,Orthodox,175.26,172.72,155,27,KO/TKO
62,Luiz Cane,-310,32.25806452,5/29/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,2,2,0,0,3,Southpaw,187.96,195.58,185,29,KO/TKO
63,Aaron Riley,-200,50,5/29/2010,"Las Vegas, Nevada, USA", USA,1,Lightweight,MALE,3,0,4,0,0,0,2,Southpaw,172.72,175.26,155,29,U-DEC
64,Jesse Forbes,-150,66.66666667,5/29/2010,"Las Vegas, Nevada, USA", USA,0,Middleweight,MALE,3,0,2,0,0,0,0,Southpaw,187.96,190.5,185,25,SUB
65,Chuck Liddell,-119,84.03361345,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Light Heavyweight,MALE,3,0,6,9,0,1,16,Orthodox,187.96,193.04,205,40,KO/TKO
66,Mirko Cro Cop,163,163,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Heavyweight,MALE,3,0,3,2,0,1,3,Southpaw,187.96,185.42,230,35,
67,Paulo Thiago,-218,45.87155963,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Welterweight,MALE,3,0,1,1,1,0,3,Orthodox,180.34,185.42,170,29,U-DEC
68,Ben Rothwell,170,170,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Heavyweight,MALE,3,0,1,0,0,0,0,Orthodox,193.04,198.12,265,28,U-DEC
69,Carlos Condit,118,118,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Welterweight,MALE,3,0,1,0,0,0,1,Orthodox,187.96,190.5,170,26,KO/TKO
70,Tyson Griffin,-180,55.55555556,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Lightweight,MALE,3,0,2,1,1,0,7,Orthodox,167.64,172.72,145,26,S-DEC
71,Mac Danzig,-102,98.03921569,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Lightweight,MALE,3,0,3,0,2,0,3,Orthodox,172.72,177.8,155,30,SUB
72,David Loiseau,205,205,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Middleweight,MALE,3,0,4,2,0,2,4,Orthodox,182.88,193.04,185,30,KO/TKO
73,James Wilks,-325,30.76923077,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Welterweight,MALE,3,0,1,0,1,0,1,Orthodox,185.42,190.5,170,32,U-DEC
74,Ricardo Funch,215,215,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Welterweight,MALE,3,0,1,0,0,0,0,Southpaw,177.8,193.04,170,29,SUB
75,Mike Pyle,110,110,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Welterweight,MALE,3,0,2,0,1,0,1,Orthodox,182.88,187.96,170,34,SUB
76,Court McGee,-220,45.45454545,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,180.34,190.5,170,25,SUB
77,Keith Jardine,140,140,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,6,2,0,0,6,Orthodox,187.96,193.04,185,34,M-DEC
78,Chris Leben,280,280,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,5,5,1,0,9,Southpaw,180.34,187.96,185,29,KO/TKO
79,Spencer Fisher,-190,52.63157895,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Lightweight,MALE,3,0,4,2,2,1,8,Southpaw,170.18,177.8,155,34,U-DEC
80,Jamie Yager,120,120,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,185.42,185,185,26,KO/TKO
81,John Gunderson,-200,50,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Lightweight,MALE,3,0,1,0,0,0,0,Orthodox,175.26,175.26,155,31,U-DEC
82,Brad Tavares,-220,45.45454545,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,185.42,187.96,185,22,U-DEC
83,Josh Bryant,155,155,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,177.8,185.42,185,30,KO/TKO
84,Chris Camozzi,-160,62.5,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,187.96,193.04,185,23,U-DEC
85,James McSweeney,165,165,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Heavyweight,MALE,3,0,0,1,0,0,1,Switch,193.04,195.58,230,29,KO/TKO
86,Brock Lesnar,-145,68.96551724,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Heavyweight,MALE,5,0,1,2,0,0,3,Orthodox,190.5,205.74,265,32,SUB
87,Chris Leben,177,177,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,5,6,1,0,10,Southpaw,180.34,187.96,185,29,SUB
88,Chris Lytle,-180,55.55555556,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Welterweight,MALE,3,0,9,1,4,0,7,Orthodox,180.34,172.72,170,35,SUB
89,Krzysztof Soszynski,-190,52.63157895,7/3/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,1,1,2,1,4,Open Stance,185.42,195.58,205,32,KO/TKO
90,George Sotiropoulos,-158,63.29113924,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Lightweight,MALE,3,0,0,1,3,0,5,Orthodox,177.8,180.34,155,32,U-DEC
91,Brendan Schaub,-305,32.78688525,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Heavyweight,MALE,3,0,1,1,0,0,1,Orthodox,193.04,198.12,245,27,KO/TKO
92,Seth Petruzelli,150,150,7/3/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,2,0,0,0,0,Orthodox,182.88,193.04,205,30,SUB
93,Kendall Grove,130,130,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,4,2,2,0,6,Orthodox,198.12,200.66,185,27,S-DEC
94,Gerald Harris,-250,40,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,2,0,0,2,Southpaw,180.34,195.58,185,30,KO/TKO
95,Forrest Petz,170,170,7/3/2010,"Las Vegas, Nevada, USA", USA,0,Welterweight,MALE,3,0,3,0,0,0,2,Orthodox,175.26,180.34,170,34,S-DEC
96,Jon Madsen,125,125,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Heavyweight,MALE,3,0,0,0,0,0,2,Orthodox,182.88,182.88,240,30,U-DEC
97,Jon Jones,-752,13.29787234,8/1/2010,"San Diego, California, USA", USA,1,Light Heavyweight,MALE,3,0,1,1,1,0,4,Orthodox,193.04,213.36,205,23,KO/TKO
