,count,mean,std,min,25%,50%,75%,max
R_odds,4495,-119.5951057,271.7809888,-1700,-260,-150,129.5,775
B_odds,4495,68.32903226,250.5077302,-1200,-145,130,225,1300
R_ev,4495,95.05438003,84.18516379,5.882352941,38.46153846,66.66666667,129.5,775
B_ev,4495,169.2587374,139.1912329,8.333333333,68.96551724,130,225,1300
no_of_rounds,4495,3.180422692,0.56894041,3,3,3,3,5
B_current_lose_streak,4495,0.467630701,0.765441873,0,0,0,1,6
B_current_win_streak,4495,0.86407119,1.300606436,0,0,0,1,12
B_draw,4495,0.00756396,0.09164329,0,0,0,0,2
B_longest_win_streak,4495,1.721468298,1.869774475,0,0,1,3,17
B_losses,4495,1.690322581,2.057199902,0,0,1,2,15
B_total_rounds_fought,4495,10.53926585,12.83725126,0,1,6,15,97
B_total_title_bouts,4495,0.235595106,1.034507507,0,0,0,0,16
B_win_by_Decision_Majority,4495,0.013570634,0.117620102,0,0,0,0,2
B_win_by_Decision_Split,4495,0.255839822,0.567982752,0,0,0,0,5
B_win_by_Decision_Unanimous,4495,0.952169077,1.463904554,0,0,0,1,10
B_win_by_KO/TKO,4495,0.948609566,1.679156283,0,0,0,1,20
B_win_by_Submission,4495,0.584649611,1.226065091,0,0,0,1,13
B_win_by_TKO_Doctor_Stoppage,4495,0.032258065,0.184105011,0,0,0,0,2
B_wins,4495,2.808676307,3.563945125,0,0,2,4,31
B_Height_cms,4495,178.1773081,8.858335089,152.4,172.72,177.8,185.42,210.82
B_Reach_cms,4495,182.4890167,10.92869181,0,175.26,182.88,190.5,213.36
B_Weight_lbs,4495,165.0549499,34.16810138,115,145,155,185,265
R_current_lose_streak,4495,0.604004449,0.855507553,0,0,0,1,7
R_current_win_streak,4495,1.035150167,1.675529148,0,0,0,1,16
R_draw,4495,0.007119021,0.089218771,0,0,0,0,2
R_longest_win_streak,4495,2.482091212,2.162116084,0,1,2,4,16
R_losses,4495,2.324805339,2.407883886,0,1,2,3,17
R_total_rounds_fought,4495,15.63448276,16.54974871,0,4,11,23,448
R_total_title_bouts,4495,0.565517241,1.507321929,0,0,0,1,16
R_win_by_Decision_Majority,4495,0.02625139,0.16265921,0,0,0,0,2
R_win_by_Decision_Split,4495,0.363959956,0.665869825,0,0,0,1,5
R_win_by_Decision_Unanimous,4495,1.442936596,1.792477559,0,0,1,2,10
R_win_by_KO/TKO,4495,1.410901001,2.023013228,0,0,1,2,21
R_win_by_Submission,4495,0.854727475,1.463100286,0,0,0,1,13
R_win_by_TKO_Doctor_Stoppage,4495,0.051612903,0.238685116,0,0,0,0,2
R_wins,4495,4.175973304,4.170642654,0,1,3,6,32
R_Height_cms,4495,178.0978865,9.009823294,152.4,172.72,177.8,185.42,210.82
R_Reach_cms,4495,182.6514372,10.83322482,152.4,175.26,182.88,190.5,214.63
R_Weight_lbs,4495,165.5377086,34.41766605,115,145,155,185,265
R_age,4495,29.96418242,4.095957209,19,27,30,33,47
B_age,4495,29.44493882,3.986629924,19,27,29,32,47
lose_streak_dif,4495,0.125695217,0.977720458,-5,0,0,0,6
win_streak_dif,4495,-0.170856507,1.704256707,-12,-1,0,0,9
longest_win_streak_dif,4495,-0.760622914,2.015539887,-12,-2,-1,0,14
win_dif,4495,-1.367296997,3.93806616,-28,-3,-1,0,23
loss_dif,4495,0.495661846,2.763149386,-17,-1,0,2,16
total_round_dif,4495,-5.095216908,16.78370508,-448,-12,-3,2,63
total_title_bout_dif,4495,-0.329922136,1.654498895,-16,0,0,0,14
ko_dif,4495,-0.481646274,2.057811315,-21,-1,0,0,14
sub_dif,4495,-0.270077864,1.733343099,-13,-1,0,0,10
height_dif,4495,0.041156841,7.029522479,-187.96,-5.08,0,5.08,30.48
reach_dif,4495,-0.235719689,9.551092539,-187.96,-5.08,0,5.08,30.48
age_dif,4495,0.425806452,5.14388015,-16,-3,0,4,17
sig_str_dif,4495,-3.836541835,23.4730685,-118,-16.3377193,-1.01,6.587301585,128.2222222
avg_sub_att_dif,4495,-0.068587444,0.830292465,-8.3,-0.428571429,0,0.20611578,6
avg_td_dif,4495,-0.219908345,1.653238184,-11,-1,0,0.521111111,10
empty_arena,4495,0.07541713,0.264092603,0,0,0,0,1
constant_1,4495,1,0,1,1,1,1,1
R_avg_SIG_STR_pct,4138,0.453609207,0.108335128,0,0.39,0.45,0.511428571,1
R_avg_SUB_ATT,4138,0.514319159,0.642103758,0,0,0.333333333,0.8,8.3
R_avg_TD_landed,4138,1.323913151,1.253828481,0,0.4,1,2,12.5
